date,sNSBT/USDN,sNSBT_TCI/USDN,sNSBT_TCI/sNSBT
06.05.2022 - 16:31,19.245885,19.703937063,1.0238
06.05.2022 - 17:00,19.245885,19.703937063,1.0238
06.05.2022 - 18:00,19.245885,19.703937063,1.0238
06.05.2022 - 19:00,20.238281,20.719952087800003,1.0238
06.05.2022 - 20:00,20.107872,20.586439353600003,1.0238
06.05.2022 - 21:00,20.107872,20.586439353600003,1.0238
06.05.2022 - 22:00,20.50048,20.988391424,1.0238
06.05.2022 - 23:00,20.443758,20.930319440399998,1.0238
07.05.2022 - 00:00,21.059185,21.560393603,1.0238
07.05.2022 - 01:00,21.062589,21.5638786182,1.0238
07.05.2022 - 02:00,21.047128,21.548049646400003,1.0238
07.05.2022 - 03:00,21.046667,21.5475776746,1.0238
07.05.2022 - 04:00,21.046667,21.5475776746,1.0238
07.05.2022 - 05:00,21.046667,21.5475776746,1.0238
07.05.2022 - 06:00,21.046667,21.5475776746,1.0238
07.05.2022 - 07:00,21.046667,21.5475776746,1.0238
07.05.2022 - 08:00,20.882681,21.3796888078,1.0238
07.05.2022 - 09:00,20.605861,21.0962804918,1.0238
07.05.2022 - 10:00,20.605861,21.0962804918,1.0238
07.05.2022 - 11:00,20.605861,21.0962804918,1.0238
07.05.2022 - 12:00,20.605861,21.0962804918,1.0238
07.05.2022 - 13:00,20.605861,21.0962804918,1.0238
07.05.2022 - 14:00,20.605861,21.0962804918,1.0238
07.05.2022 - 15:00,20.770017,21.2643434046,1.0238
07.05.2022 - 16:00,20.770017,21.2643434046,1.0238
07.05.2022 - 17:00,20.770017,21.2643434046,1.0238
07.05.2022 - 18:00,20.771592,21.2659558896,1.0238
07.05.2022 - 19:00,20.659363,21.1510558394,1.0238
07.05.2022 - 20:00,20.659363,21.1510558394,1.0238
07.05.2022 - 21:00,20.659363,21.1510558394,1.0238
07.05.2022 - 22:00,20.659363,21.1510558394,1.0238
07.05.2022 - 23:00,20.573517,21.0631667046,1.0238
08.05.2022 - 00:00,20.573514,21.0631636332,1.0238
08.05.2022 - 01:00,20.474139,20.961423508200003,1.0238
08.05.2022 - 02:00,20.474139,20.961423508200003,1.0238
08.05.2022 - 03:00,20.474139,20.961423508200003,1.0238
08.05.2022 - 04:00,20.474347,20.9616364586,1.0238
08.05.2022 - 05:00,20.196221,20.676891059800003,1.0238
08.05.2022 - 06:00,20.196221,20.676891059800003,1.0238
08.05.2022 - 07:00,19.896285,20.369816583,1.0238
08.05.2022 - 08:00,19.896285,20.369816583,1.0238
08.05.2022 - 09:00,19.799737,20.270970740600003,1.0238
08.05.2022 - 10:00,19.521326,19.9859335588,1.0238
08.05.2022 - 11:00,19.52305,19.98769859,1.0238
08.05.2022 - 12:00,19.52305,19.98769859,1.0238
08.05.2022 - 13:00,19.424814,19.8871245732,1.0238
08.05.2022 - 14:00,19.424814,19.8871245732,1.0238
08.05.2022 - 15:00,19.424814,19.8871245732,1.0238
08.05.2022 - 16:00,19.424814,19.8871245732,1.0238
08.05.2022 - 17:00,19.028589,19.4814694182,1.0238
08.05.2022 - 18:00,19.028589,19.4814694182,1.0238
08.05.2022 - 19:00,19.028654,19.4815359652,1.0238
08.05.2022 - 20:00,19.028654,19.4815359652,1.0238
08.05.2022 - 21:00,18.984655,19.436489789,1.0238
08.05.2022 - 22:00,18.984655,19.436489789,1.0238
08.05.2022 - 23:00,18.987086,19.438978646800003,1.0238
09.05.2022 - 00:00,19.560006,20.0255341428,1.0238
09.05.2022 - 01:00,19.35754,19.818249452,1.0238
09.05.2022 - 02:00,19.43314,19.895648732,1.0238
09.05.2022 - 03:00,19.43314,19.895648732,1.0238
09.05.2022 - 04:00,19.956292,20.4312517496,1.0238
09.05.2022 - 05:00,19.955513,20.4304542094,1.0238
09.05.2022 - 06:00,19.79731,20.268485978,1.0238
09.05.2022 - 07:00,19.575769,20.041672302200002,1.0238
09.05.2022 - 08:00,19.575769,20.041672302200002,1.0238
09.05.2022 - 09:00,19.575769,20.041672302200002,1.0238
09.05.2022 - 10:00,19.581727,20.047772102600003,1.0238
09.05.2022 - 11:00,19.593747,20.0718344268,1.0244
09.05.2022 - 12:00,19.758149,20.240247835599998,1.0244
09.05.2022 - 13:00,20.026817,20.696553814114,1.033442
09.05.2022 - 14:00,20.075078,20.746428758476,1.033442
09.05.2022 - 15:00,19.667986,20.325722787811998,1.033442
09.05.2022 - 16:00,21.080052,21.785011098983997,1.033442
09.05.2022 - 17:00,21.080052,21.785011098983997,1.033442
